ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios;;;;
6248;0;8;0;43.0;360;;18;3;0;1;1;;;;
6243;1;12;2;43.0;372;;23;3;0;0;0;;;;
6243;0;13;5;57.0;484;;16;4;0;0;6;;;;
6247;1;12;0;38.0;351;;6;1;1;3;4;;;;
6247;0;12;0;62.0;575;;19;5;0;2;6;;;;
6246;1;12;0;48.0;388;;14;2;0;4;7;;;;
6246;0;15;0;52.0;429;;11;3;0;1;5;;;;
6249;1;14;0;53.0;505;;17;2;1;1;4;;;;
6249;0;6;0;47.0;469;;12;2;0;1;2;;;;
6244;1;19;0;64.0;509;;12;1;0;0;6;;;;
6244;0;10;0;36.0;284;;13;3;0;2;3;;;;
6250;1;21;0;47.0;359;;23;4;0;0;8;;;;
6250;0;8;0;53.0;407;;14;5;0;5;8;;;;
6254;1;8;0;46.0;383;;19;2;1;1;5;;;;
6254;0;17;0;54.0;440;;22;5;0;1;6;;;;
6257;1;10;0;39.0;345;;22;3;0;2;2;;;;
6257;0;5;0;61.0;549;;10;1;0;4;6;;;;
6255;1;8;0;63.0;588;;14;1;0;3;2;;;;
6255;0;14;0;37.0;345;;18;4;0;1;5;;;;
6252;1;20;0;51.0;344;;18;4;1;10;10;;;;
6252;0;14;0;49.0;368;;16;4;0;1;2;;;;
6251;1;7;0;48.0;414;;16;2;0;2;3;;;;
6251;0;12;0;52.0;452;;14;2;0;3;4;;;;
6253;1;14;8;60.0;520;;12;0;0;0;8;;;;
6253;0;11;2;40.0;345;;11;3;0;6;3;;;;
6256;1;9;0;40.0;350;;11;3;0;1;3;;;;
6256;0;14;0;60.0;510;;14;3;0;2;7;;;;
6259;1;13;0;51.0;430;;16;0;0;1;4;;;;
6259;0;13;0;49.0;420;;12;1;0;2;9;;;;
6258;1;14;0;65.0;572;;14;4;0;3;9;;;;
6258;0;6;0;35.0;330;;9;4;0;1;4;;;;
6262;1;15;0;53.0;464;;10;0;0;0;7;;;;
6262;0;5;0;47.0;420;;10;0;0;1;3;;;;
6261;1;15;0;47.0;416;;19;2;1;1;5;;;;
6261;0;4;0;53.0;463;;16;2;0;5;5;;;;
6260;1;18;0;77.0;539;;15;4;1;5;4;;;;
6260;0;7;0;23.0;169;;17;1;3;2;2;;;;
6267;1;16;0;54.0;476;;15;0;0;5;4;;;;
6267;0;5;0;46.0;420;;15;4;0;1;3;;;;
6264;1;15;0;64.0;507;;9;1;0;1;9;;;;
6264;0;8;0;36.0;294;;17;2;0;1;11;;;;
6269;1;18;0;74.0;690;;15;3;0;3;5;;;;
6269;0;9;0;26.0;248;;12;3;1;0;3;;;;
6263;1;16;0;49.0;312;;20;6;0;2;11;;;;
